DATE,Alte Pinakothek,Olympiapark,Bayerisches Nationalmuseum,Bayerisches Staatsoper,Deutsches Museum,Kleine Olympiahalle,Museum Brandhorst,Museum Mensch und Natur,Muenchner Kammerspiele,Muenchner Stadtmuseum,Nationaltheater,Neue Pinakothek,Olympia-Eissportzentrum,Olympiahalle,Olympiastadion,Olympiaturm,Pinakothek der Moderne,Prinzregententheater,Residenztheater,Schack galerie,Lenbachhaus,Staatstheater am Gaertnerplatz,Tierpark Hellabrunn,AnzahlFall
2006-07-01,19648.0,1074570.0,5945.0,2895.8,88441.0,57396.03004,0.0,0.0,11636.8,7141.0,57611.7,14689.0,10526.0,17500.0,198562.0,67585.0,26703.0,437.9,18521.3,465.0,9598.0,12678.4,100783.0,0.0
2006-08-01,27815.0,320610.0,4406.0,11436.97475,153254.0,57396.03004,0.0,0.0,18842.159669999997,6208.0,18822.57375,21186.0,10270.0,10500.0,234786.0,106838.0,42786.0,18803.15487,18793.47798,542.0,13988.0,18774.39386,160173.0,0.0
2006-09-01,21864.0,24930.0,3532.0,3294.6,57446.0,4200.0,0.0,0.0,1977.3,5459.0,18822.57375,12195.0,16942.0,4050.0,17463.0,61511.0,23716.0,2604.5,18793.47798,336.0,9456.0,6594.9,104438.0,0.0
2006-10-01,31699.0,12470.0,13217.0,5455.4,82883.0,500.0,0.0,0.0,14205.8,7114.0,10863.8,17564.0,29192.0,66100.0,51612.0,63001.0,38846.0,12318.2,11937.4,1458.0,19710.0,15253.5,90410.0,0.0
2006-11-01,26964.0,4020.0,9359.0,595.7,53201.0,57396.03004,0.0,0.0,15066.7,10837.0,51570.2,9965.0,34510.0,92100.0,4668.0,34155.0,29207.0,10740.2,16925.6,543.0,11586.0,16490.6,33495.0,0.0
2006-12-01,19994.0,7020.0,23221.0,748.1,61255.0,57396.03004,0.0,0.0,18495.8,5848.0,52346.3,10413.0,40458.0,110200.0,39489.0,39633.0,34110.0,35648.7,20882.5,555.0,11322.0,25474.3,26329.0,0.0
2007-01-01,16938.0,1240.0,21166.0,4424.6,66591.0,1200.0,0.0,0.0,17210.2,6387.0,51794.0,16571.0,40660.0,63500.0,5991.0,28564.0,41848.0,15339.4,22790.2,542.0,13016.0,20606.9,26669.0,0.0
2007-02-01,13189.0,7820.0,14541.0,6951.1,62280.0,600.0,0.0,0.0,16339.4,4388.0,43933.0,14949.0,31665.0,123300.0,7565.0,37717.0,38064.0,22845.6,21649.5,463.0,11004.0,18616.8,56232.0,0.0
2007-03-01,17908.0,6880.0,19030.0,739.6,76140.0,800.0,0.0,0.0,17336.0,8758.0,48066.1,19295.0,30939.0,78100.0,10831.0,41058.0,39837.0,22186.5,21008.0,572.0,14151.0,18693.5,55259.0,0.0
2007-04-01,16175.0,36440.0,3877.0,3892.2,76765.0,57396.03004,0.0,0.0,14861.4,5348.0,46941.4,15736.0,17453.0,39000.0,16329.0,71306.0,23445.0,12626.2,16955.8,359.0,17419.0,15106.2,155328.0,0.0
