DATE,Alte Pinakothek,Ausland (Tourismus),Olympiapark,Bayerisches Nationalmuseum,Bayerisches Staatsorchester,Deutsches Museum,Inland (Tourismus),Kleine Olympiahalle,Museum Brandhorst,Museum Mensch und Natur,Muenchner Kammerspiele,Muenchner Philharmoniker,Muenchner Stadtmuseum,Nationaltheater,Neue Pinakothek,Olympia-Eissportzentrum,Olympiahalle,Olympiastadion,Olympiaturm,Pinakothek der Moderne,Prinzregententheater,Residenztheater,Schackgalerie,Schauburg - Theater fuer junges Publikum,Staedtische Galerie im Lenbachhaus,Theater am Gaertnerplatz,Tierpark Hellabrunn,Kinos
01/04/2006,22871,425972,30750,6391,7613.8,106502,578995,57396.03004,0,0,12910.7,18442.9,8318,38605.5,16655,19321,32900,18306,72340,36903,9358.7,18485.6,489,2858.7,13288,11563.6,112315,1503429
01/05/2006,25749,502210,25240,6566,5463.7,83455,717930,11950,0,0,14752.3,13544.9,8837,30504.5,3906,10090,68200,118845,59712,19319,9767.4,21953.2,538,4546.7,12505,12455.5,84975,1603899
01/06/2006,15922,600976,12170,5164,11523.11961,64070,469411,57396.03004,0,0,14962.9,24664,7440,28854.5,6026,7510,12400,51009,54017,18834,3640.8,18881.7,319,2870.6,8013,13474.7,96116,1259818
01/07/2006,19648,691719,1074570,5945,2895.8,88441,658581,57396.03004,0,0,11636.8,17015.6,7141,57611.7,14689,10526,17500,198562,67585,26703,437.9,18521.3,465,4121.9,9598,12678.4,100783,1678372
01/08/2006,27815,656678,320610,4406,11523.11961,153254,616925,57396.03004,0,0,18979.50766,11498.17614,6208,18969.56682,21186,10270,10500,234786,106838,42786,18959.70111,18949.8636,542,18940.11325,13988,18930.46492,160173,1792831
01/09/2006,21864,708467,24930,3532,3294.6,57446,692673,4200,0,0,1977.3,6910.5,5459,18969.56682,12195,16942,4050,17463,61511,23716,2604.5,18949.8636,336,18940.11325,9456,6594.9,104438,1720686
01/10/2006,31699,540515,12470,13217,5455.4,82883,747807,500,0,0,14205.8,18554.3,7114,10863.8,17564,29192,66100,51612,63001,38846,12318.2,11937.4,1458,2776.8,19710,15253.5,90410,1789971
01/11/2006,26964,436196,4020,9359,595.7,53201,571160,57396.03004,0,0,15066.7,20609.9,10837,51570.2,9965,34510,92100,4668,34155,29207,10740.2,16925.6,543,5420.8,11586,16490.6,33495,1510915
01/12/2006,19994,496409,7020,23221,748.1,61255,582852,57396.03004,0,0,18495.8,23493.9,5848,52346.3,10413,40458,110200,39489,39633,34110,35648.7,20882.5,555,4695.6,11322,25474.3,26329,1515682
01/01/2007,16938,348997,1240,21166,4424.6,66591,514364,1200,0,0,17210.2,12349.1,6387,51794,16571,40660,63500,5991,28564,41848,15339.4,22790.2,542,4359.1,13016,20606.9,26669,1354093
01/02/2007,13189,391463,7820,14541,6951.1,62280,495110,600,0,0,16339.4,25150.5,4388,43933,14949,31665,123300,7565,37717,38064,22845.6,21649.5,463,4238.9,11004,18616.8,56232,1294433
01/03/2007,17908,458799,6880,19030,739.6,76140,641763,800,0,0,17336,27324.3,8758,48066.1,19295,30939,78100,10831,41058,39837,22186.5,21008,572,5409.5,14151,18693.5,55259,1454949
01/04/2007,16175,561300,36440,3877,3892.2,76765,585708,57396.03004,0,0,14861.4,14877.4,5348,46941.4,15736,17453,39000,16329,71306,23445,12626.2,16955.8,359,3279.1,17419,15106.2,155328,1434072
