AUSPRAEGUNG,WERT,DATE
Münchner Philharmoniker,13484.0,2012-01-01
Münchner Philharmoniker,22450.0,2012-02-01
Münchner Philharmoniker,16490.0,2012-03-01
Münchner Philharmoniker,21467.0,2012-04-01
Münchner Philharmoniker,9876.0,2012-05-01
Münchner Philharmoniker,22401.0,2012-06-01
Münchner Philharmoniker,25503.0,2012-07-01
Münchner Philharmoniker,,2012-08-01
Münchner Philharmoniker,24366.0,2012-09-01
Münchner Philharmoniker,19020.0,2012-10-01
Münchner Philharmoniker,25623.0,2012-11-01
Münchner Philharmoniker,13374.0,2012-12-01
Münchner Philharmoniker,19037.0,2011-01-01
Münchner Philharmoniker,7840.0,2011-02-01
Münchner Philharmoniker,25433.0,2011-03-01
Münchner Philharmoniker,27558.0,2011-04-01
Münchner Philharmoniker,25914.0,2011-05-01
Münchner Philharmoniker,16004.0,2011-06-01
Münchner Philharmoniker,14838.0,2011-07-01
Münchner Philharmoniker,,2011-08-01
Münchner Philharmoniker,13532.0,2011-09-01
Münchner Philharmoniker,16278.0,2011-10-01
Münchner Philharmoniker,23604.0,2011-11-01
Münchner Philharmoniker,21213.0,2011-12-01
Münchner Philharmoniker,9930.0,2010-01-01
Münchner Philharmoniker,11788.0,2010-02-01
Münchner Philharmoniker,16857.0,2010-03-01
Münchner Philharmoniker,16980.0,2010-04-01
Münchner Philharmoniker,21927.0,2010-05-01
Münchner Philharmoniker,25053.0,2010-06-01
Münchner Philharmoniker,13189.0,2010-07-01
Münchner Philharmoniker,,2010-08-01
Münchner Philharmoniker,9362.0,2010-09-01
Münchner Philharmoniker,11959.0,2010-10-01
Münchner Philharmoniker,24599.0,2010-11-01
Münchner Philharmoniker,19161.0,2010-12-01
Münchner Philharmoniker,6996.0,2009-01-01
Münchner Philharmoniker,25190.0,2009-02-01
Münchner Philharmoniker,22008.0,2009-03-01
Münchner Philharmoniker,26696.0,2009-04-01
Münchner Philharmoniker,23409.0,2009-05-01
Münchner Philharmoniker,22405.0,2009-06-01
Münchner Philharmoniker,19180.0,2009-07-01
Münchner Philharmoniker,,2009-08-01
Münchner Philharmoniker,8163.0,2009-09-01
Münchner Philharmoniker,23669.0,2009-10-01
Münchner Philharmoniker,23395.0,2009-11-01
Münchner Philharmoniker,18873.0,2009-12-01
Münchner Philharmoniker,26317.0,2008-01-01
Münchner Philharmoniker,15921.0,2008-02-01
Münchner Philharmoniker,16308.0,2008-03-01
Münchner Philharmoniker,20979.0,2008-04-01
Münchner Philharmoniker,22510.0,2008-05-01
Münchner Philharmoniker,22437.0,2008-06-01
Münchner Philharmoniker,16422.0,2008-07-01
Münchner Philharmoniker,,2008-08-01
Münchner Philharmoniker,7547.0,2008-09-01
Münchner Philharmoniker,10034.0,2008-10-01
Münchner Philharmoniker,19855.0,2008-11-01
Münchner Philharmoniker,17378.0,2008-12-01
Münchner Philharmoniker,12258.0,2007-01-01
Münchner Philharmoniker,25047.0,2007-02-01
Münchner Philharmoniker,27218.0,2007-03-01
Münchner Philharmoniker,14773.0,2007-04-01
Münchner Philharmoniker,14213.0,2007-05-01
Münchner Philharmoniker,28048.0,2007-06-01
Münchner Philharmoniker,14839.0,2007-07-01
Münchner Philharmoniker,,2007-08-01
Münchner Philharmoniker,8015.0,2007-09-01
Münchner Philharmoniker,19893.0,2007-10-01
Münchner Philharmoniker,10645.0,2007-11-01
Münchner Philharmoniker,25131.0,2007-12-01
Münchner Philharmoniker,21872.0,2006-01-01
Münchner Philharmoniker,27148.0,2006-02-01
Münchner Philharmoniker,18037.0,2006-03-01
Münchner Philharmoniker,18349.0,2006-04-01
Münchner Philharmoniker,13448.0,2006-05-01
Münchner Philharmoniker,24560.0,2006-06-01
Münchner Philharmoniker,16925.0,2006-07-01
Münchner Philharmoniker,,2006-08-01
Münchner Philharmoniker,6813.0,2006-09-01
