AUSPRAEGUNG,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT,DATE
Münchner Kammerspiele,17936.0,13965.0,26.16,28.44,13996.0,2005-12-01
Münchner Kammerspiele,15088.0,,6.14,,11434.0,2004-01-01
Münchner Kammerspiele,14685.0,,-2.67,,11729.0,2004-02-01
Münchner Kammerspiele,14497.0,8921.0,-1.28,62.5,12236.0,2004-03-01
Münchner Kammerspiele,14221.0,14458.0,-1.9,-1.64,12215.0,2004-04-01
Münchner Kammerspiele,12736.0,10331.0,-10.44,23.28,12433.0,2004-05-01
Münchner Kammerspiele,14066.0,10127.0,10.44,38.9,12791.0,2004-06-01
Münchner Kammerspiele,12879.0,9668.0,-8.44,33.21,13083.0,2004-07-01
Münchner Kammerspiele,,,,,,2004-08-01
Münchner Kammerspiele,689.0,2584.0,,-73.34,12911.0,2004-09-01
Münchner Kammerspiele,15068.0,15653.0,2086.94,-3.74,12858.0,2004-10-01
Münchner Kammerspiele,13926.0,13293.0,-7.58,4.76,12915.0,2004-11-01
Münchner Kammerspiele,13965.0,14215.0,0.28,-1.76,12893.0,2004-12-01
Münchner Kammerspiele,8921.0,,,,8921.0,2003-03-01
Münchner Kammerspiele,14458.0,,62.07,,11690.0,2003-04-01
Münchner Kammerspiele,10331.0,,-28.54,,11237.0,2003-05-01
Münchner Kammerspiele,10127.0,,-1.97,,10959.0,2003-06-01
Münchner Kammerspiele,9668.0,,-4.53,,10701.0,2003-07-01
Münchner Kammerspiele,,,,,,2003-08-01
Münchner Kammerspiele,2584.0,,,,9348.0,2003-09-01
Münchner Kammerspiele,15653.0,,505.77,,10249.0,2003-10-01
Münchner Kammerspiele,13293.0,,-15.08,,10629.0,2003-11-01
Münchner Kammerspiele,14215.0,,6.94,,11028.0,2003-12-01
Nationaltheater,44015.0,42658.0,-7.83,3.18,43475.0,2020-01-01
Nationaltheater,45416.0,45388.0,3.18,0.06,43478.0,2020-02-01
Nationaltheater,17417.0,53264.0,-61.65,-67.3,40219.0,2020-03-01
Nationaltheater,0.0,49837.0,,,,2020-04-01
